== Frequent Itemsets ==
34 (7914)
59 (5176)
63 (4936)
76 (4384)
23 (3376)
93 (3968)
52 (3516)
86 (7924)
85 (8124)
36 (6812)
3 (3656)
67 (4464)
90 (7488)
1 (3916)
39 (5612)
2 (4208)
10 (3244)
53 (4608)
28 (3528)
24 (4748)
110 (4040)
6 (3152)
56 (3776)
116 (3148)
59 93 (3664)
86 93 (3776)
36 67 (3160)
1 36 (3804)
34 59 (4984)
86 34 (7906)
90 63 (4496)
36 52 (3068)
67 85 (4464)
86 59 (4984)
36 63 (4184)
90 23 (3080)
85 34 (7914)
67 34 (4464)
1 34 (3898)
36 23 (3272)
90 76 (3896)
59 23 (3232)
86 23 (3376)
1 85 (3916)
85 63 (4936)
67 63 (3064)
90 93 (3560)
36 85 (6812)
3 34 (3602)
34 93 (3776)
67 59 (3304)
67 86 (4464)
85 59 (5176)
86 85 (7924)
1 86 (3908)
52 34 (3306)
59 76 (3280)
86 76 (4384)
52 86 (3316)
36 76 (3128)
76 63 (3040)
36 3 (3016)
67 90 (3976)
36 93 (3480)
90 85 (7488)
85 23 (3376)
3 86 (3608)
3 90 (3464)
36 59 (4424)
36 86 (6620)
90 34 (7296)
59 63 (4156)
86 63 (4744)
23 63 (3040)
34 63 (4744)
90 59 (4736)
86 90 (7288)
34 76 (4384)
93 23 (3184)
85 76 (4384)
67 76 (3520)
93 63 (3472)
52 85 (3516)
1 90 (3808)
85 93 (3968)
36 90 (6464)
34 23 (3376)
36 34 (6602)
3 85 (3656)
39 34 (5402)
39 2 (3920)
39 93 (3320)
36 2 (3008)
39 59 (3592)
39 86 (5420)
2 85 (4208)
2 63 (3400)
2 34 (4016)
39 85 (5612)
39 63 (3400)
2 93 (3152)
2 90 (3680)
2 59 (3640)
2 86 (4016)
36 39 (4556)
39 90 (4976)
39 23 (3016)
36 10 (3208)
10 86 (3236)
10 85 (3244)
10 34 (3226)
10 90 (3052)
28 34 (3336)
53 59 (3216)
53 86 (4608)
86 24 (4548)
28 39 (3288)
28 85 (3528)
53 34 (4608)
28 2 (3408)
90 24 (4408)
53 85 (4608)
34 24 (4538)
53 90 (4608)
28 86 (3328)
85 24 (4748)
53 63 (3216)
34 110 (3944)
85 110 (4040)
86 110 (3944)
36 110 (3848)
90 110 (3952)
36 24 (3540)
6 90 (3020)
6 86 (3102)
6 34 (3098)
6 85 (3152)
86 116 (3148)
34 116 (3130)
56 85 (3776)
56 86 (3776)
85 116 (3148)
90 116 (3104)
56 90 (3656)
56 34 (3776)
36 56 (3528)
39 56 (3432)
36 53 (3744)
1 24 (3292)
76 85 63 (3040)
85 59 76 (3280)
86 85 93 (3776)
36 34 63 (3992)
36 86 90 (6272)
85 93 23 (3184)
34 90 76 (3896)
86 63 76 (3040)
67 85 63 (3064)
34 90 23 (3080)
86 63 23 (3040)
36 34 76 (3128)
67 34 76 (3520)
85 90 76 (3896)
67 85 59 (3304)
1 90 85 (3808)
86 34 76 (4384)
86 90 76 (3896)
76 34 63 (3040)
90 59 93 (3416)
36 85 59 (4424)
67 90 76 (3080)
36 90 63 (3888)
36 86 34 (6602)
85 93 63 (3472)
86 59 23 (3232)
86 59 76 (3280)
86 34 23 (3376)
67 86 34 (4464)
85 90 93 (3560)
1 36 85 (3804)
67 34 63 (3064)
67 86 90 (3976)
36 85 76 (3128)
1 86 90 (3800)
85 90 23 (3080)
36 93 23 (3080)
3 90 34 (3416)
86 85 76 (4384)
3 86 85 (3608)
85 59 93 (3664)
36 90 59 (4128)
36 59 23 (3128)
86 85 59 (4984)
86 34 93 (3776)
90 93 63 (3224)
36 85 63 (4184)
23 85 63 (3040)
86 34 59 (4984)
90 59 63 (3788)
67 86 85 (4464)
1 86 85 (3908)
3 85 34 (3602)
86 93 63 (3280)
36 85 34 (6602)
34 90 93 (3368)
86 85 52 (3316)
85 34 76 (4384)
23 59 93 (3040)
36 34 59 (4232)
86 34 52 (3298)
34 59 23 (3232)
86 85 23 (3376)
85 52 34 (3306)
1 36 86 (3804)
36 34 23 (3272)
36 86 59 (4232)
36 52 85 (3068)
1 86 34 (3890)
36 85 3 (3016)
36 86 23 (3272)
36 90 93 (3360)
34 59 93 (3472)
